2022-01-04 11:06:21 startup archives unpack
2022-01-04 11:06:21 install net-tools:amd64 <none> 1.60+git20180626.aebd88e-1ubuntu1
2022-01-04 11:06:21 status half-installed net-tools:amd64 1.60+git20180626.aebd88e-1ubuntu1
2022-01-04 11:06:21 status unpacked net-tools:amd64 1.60+git20180626.aebd88e-1ubuntu1
2022-01-04 11:06:21 startup packages configure
2022-01-04 11:06:21 configure net-tools:amd64 1.60+git20180626.aebd88e-1ubuntu1 <none>
2022-01-04 11:06:21 status unpacked net-tools:amd64 1.60+git20180626.aebd88e-1ubuntu1
2022-01-04 11:06:21 status half-configured net-tools:amd64 1.60+git20180626.aebd88e-1ubuntu1
2022-01-04 11:06:21 status installed net-tools:amd64 1.60+git20180626.aebd88e-1ubuntu1
2022-01-04 11:06:46 startup archives unpack
2022-01-04 11:06:46 install libcap2:amd64 <none> 1:2.32-1
2022-01-04 11:06:46 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 11:06:46 status half-installed libcap2:amd64 1:2.32-1
2022-01-04 11:06:46 status unpacked libcap2:amd64 1:2.32-1
2022-01-04 11:06:46 install libcap2-bin:amd64 <none> 1:2.32-1
2022-01-04 11:06:46 status half-installed libcap2-bin:amd64 1:2.32-1
2022-01-04 11:06:46 status unpacked libcap2-bin:amd64 1:2.32-1
2022-01-04 11:06:46 install iputils-ping:amd64 <none> 3:20190709-3
2022-01-04 11:06:46 status half-installed iputils-ping:amd64 3:20190709-3
2022-01-04 11:06:46 status unpacked iputils-ping:amd64 3:20190709-3
2022-01-04 11:06:46 install libpam-cap:amd64 <none> 1:2.32-1
2022-01-04 11:06:46 status half-installed libpam-cap:amd64 1:2.32-1
2022-01-04 11:06:46 status unpacked libpam-cap:amd64 1:2.32-1
2022-01-04 11:06:46 startup packages configure
2022-01-04 11:06:46 configure libcap2:amd64 1:2.32-1 <none>
2022-01-04 11:06:46 status unpacked libcap2:amd64 1:2.32-1
2022-01-04 11:06:46 status half-configured libcap2:amd64 1:2.32-1
2022-01-04 11:06:46 status installed libcap2:amd64 1:2.32-1
2022-01-04 11:06:46 configure libcap2-bin:amd64 1:2.32-1 <none>
2022-01-04 11:06:46 status unpacked libcap2-bin:amd64 1:2.32-1
2022-01-04 11:06:46 status half-configured libcap2-bin:amd64 1:2.32-1
2022-01-04 11:06:46 status installed libcap2-bin:amd64 1:2.32-1
2022-01-04 11:06:46 configure libpam-cap:amd64 1:2.32-1 <none>
2022-01-04 11:06:46 status unpacked libpam-cap:amd64 1:2.32-1
2022-01-04 11:06:46 status half-configured libpam-cap:amd64 1:2.32-1
2022-01-04 11:06:46 status installed libpam-cap:amd64 1:2.32-1
2022-01-04 11:06:46 configure iputils-ping:amd64 3:20190709-3 <none>
2022-01-04 11:06:46 status unpacked iputils-ping:amd64 3:20190709-3
2022-01-04 11:06:46 status half-configured iputils-ping:amd64 3:20190709-3
2022-01-04 11:06:46 status installed iputils-ping:amd64 3:20190709-3
2022-01-04 11:06:46 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
2022-01-04 11:06:46 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 11:06:46 status installed libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 11:12:26 startup archives unpack
2022-01-04 11:12:26 install libcap2:amd64 <none> 1:2.32-1
2022-01-04 11:12:26 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 11:12:26 status half-installed libcap2:amd64 1:2.32-1
2022-01-04 11:12:26 status unpacked libcap2:amd64 1:2.32-1
2022-01-04 11:12:26 install libcap2-bin:amd64 <none> 1:2.32-1
2022-01-04 11:12:26 status half-installed libcap2-bin:amd64 1:2.32-1
2022-01-04 11:12:26 status unpacked libcap2-bin:amd64 1:2.32-1
2022-01-04 11:12:27 install iputils-ping:amd64 <none> 3:20190709-3
2022-01-04 11:12:27 status half-installed iputils-ping:amd64 3:20190709-3
2022-01-04 11:12:27 status unpacked iputils-ping:amd64 3:20190709-3
2022-01-04 11:12:27 install libpam-cap:amd64 <none> 1:2.32-1
2022-01-04 11:12:27 status half-installed libpam-cap:amd64 1:2.32-1
2022-01-04 11:12:27 status unpacked libpam-cap:amd64 1:2.32-1
2022-01-04 11:12:27 startup packages configure
2022-01-04 11:12:27 configure libcap2:amd64 1:2.32-1 <none>
2022-01-04 11:12:27 status unpacked libcap2:amd64 1:2.32-1
2022-01-04 11:12:27 status half-configured libcap2:amd64 1:2.32-1
2022-01-04 11:12:27 status installed libcap2:amd64 1:2.32-1
2022-01-04 11:12:27 configure libcap2-bin:amd64 1:2.32-1 <none>
2022-01-04 11:12:27 status unpacked libcap2-bin:amd64 1:2.32-1
2022-01-04 11:12:27 status half-configured libcap2-bin:amd64 1:2.32-1
2022-01-04 11:12:27 status installed libcap2-bin:amd64 1:2.32-1
2022-01-04 11:12:27 configure libpam-cap:amd64 1:2.32-1 <none>
